ID,Name,BasketArea,DeepPaint,LeftBaseline,LeftCorner,LeftWing2,LeftWing3,MidrangeSlot,RightBaseline,RightCorner3,RightWing2,RightWing3,TopOfArc
263,Tim Duncan,241,330,92,2,35,1,44,43,0,27,1,1
264,Tim Hardaway Jr.,49,160,22,37,16,95,26,54,31,36,111,77
265,Timofey Mozgov,87,368,36,4,10,0,25,26,1,8,1,0
266,TJ Warren,46,108,13,4,1,4,5,15,3,5,8,0
267,Tobias Harris,164,317,93,53,34,35,28,49,51,24,60,39
268,Tony Allen,53,336,10,10,5,6,6,8,10,8,2,1
269,Tony Parker,161,248,88,31,76,7,25,66,37,79,9,5
270,Tony Snell,30,97,12,30,7,55,10,7,27,11,47,36
271,Trevor Ariza,33,224,15,77,12,107,21,31,137,19,184,50
272,Trevor Booker,73,199,43,17,7,11,9,34,16,15,18,19
273,Trey Burke,136,185,37,29,46,111,55,70,46,86,125,73
274,Tristan Thompson,103,344,15,0,2,0,7,16,0,1,0,0
275,Ty Lawson,130,256,69,12,49,72,67,81,8,69,70,37
276,Tyler Zeller,158,329,39,0,12,0,30,28,0,23,0,0
277,Tyreke Evans,88,700,22,25,23,48,33,28,25,44,71,51
278,Tyson Chandler,24,371,3,0,5,0,11,6,0,20,0,0
279,Udonis Haslem,23,116,17,5,3,0,33,23,5,14,0,0
280,Victor Oladipo,122,482,30,34,37,59,57,44,21,66,79,52
281,Vince Carter,28,60,25,20,13,53,7,23,14,18,101,42
282,Wayne Ellington,38,107,22,9,50,78,36,61,32,60,82,42
283,Wesley Johnson,38,120,71,47,48,78,40,65,41,50,62,29
284,Wesley Matthews,72,121,33,77,10,119,9,46,53,16,123,72
285,Will Barton,59,140,19,8,8,23,17,14,17,11,23,12
286,Wilson Chandler,152,291,26,49,9,87,24,41,52,26,148,69
287,Zach LaVine,66,203,49,15,49,65,44,39,9,60,46,29
288,Zach Randolph,208,431,36,0,13,4,28,151,2,45,5,4
289,Zaza Pachulia,87,246,72,0,19,2,44,45,0,13,1,0
