Rank,PPG,TOperG,RedzoneTDDefensePcg,PtsAllowedperG,Power5,TOsL
10,31.8,30:21.5,34.88,15.6,1,15
11,36.1,26:18.4,59.18,23.8,1,23
12,35.5,30:50.8,57.45,21.5,0,24
13,33.8,33:49.1,53.06,24.8,1,18
14,28,33:54.6,43.75,19.4,1,14
15,32.1,30:56.4,54.05,19.8,1,14
16,31.8,33:54.8,58.33,21.8,1,24
17,24.8,27:49.8,31.71,16.2,1,14
18,29.8,31:03.6,50,20.2,0,20
19,30.3,30:15.4,35.9,22.2,1,21
20,29.5,29:50.1,34.09,17.7,1,31
21,37,28:54.6,52.27,22.5,1,30
22,26.5,29:10.3,53.19,19.8,1,22
23,33.9,30:20.0,44.23,18.9,0,15
24,31.1,27:51.1,57.14,20.4,1,24
25,26.2,30:15.4,45.24,21.7,0,25
1,43.6,30:06.3,46.15,12.9,1,13
2,36.9,32:21.1,59.38,17.2,0,18
3,37.5,31:14.5,51.85,9,1,22
4,42.4,32:29.9,47.62,18.8,1,14
5,51.1,29:25.7,65.31,24.5,1,11
6,30.1,32:03.2,51.85,14.3,1,19
7,33.6,34:55.6,45.45,11.3,0,15
8,38.9,31:43.6,58.33,14.4,1,16
9,27.6,31:41.7,48.28,13.9,1,13
10,41.9,25:11.0,62.96,28.2,1,26
11,37.6,28:47.9,47.83,12.6,0,26
12,43.8,30:16.6,58.49,27.8,1,21
13,31.5,30:57.1,63.04,24.5,1,19
14,32.1,30:13.6,59.38,19,1,25
15,22.1,33:00.2,51.52,16.7,1,20
16,40.8,31:08.8,73.68,28.1,1,20
17,25.9,29:55.1,54.35,20.1,0,30
18,30.5,31:51.5,51.35,23.1,0,21
19,42.2,25:49.1,58,27.2,1,26
20,30.3,31:30.9,44.83,13,1,24
21,33.4,31:35.7,42.22,20.2,1,26
22,24.4,30:30.7,58.14,20.3,1,27
23,24.5,29:01.8,45.45,17,0,16
24,25.1,31:01.4,53.66,22.1,1,22
25,34.2,30:18.7,59.09,21.9,0,28
